FlightNumber,IsDeparting,Destination,Origin,ArrivalTime,OffTime,ArrivalTimeMinutes,OffTimeMinutes,ArrivalTimeActual,OffTimeActual,ArrivalTimeActualMinutes,OffTimeActualMinutes,Aircraft,FlightType,PassengersArr,PassengersDept,DepGate,ArrGate,SchedDepLocal,SchedArrLocal,OutGateLocal,InGateLocal,SchedDepUtc,SchedArrUtc,OutGateUtc,InGateUtc,TailNumber
AA890,N,DFW,CLT,0018,0048,18,48,0049,0048,49.0,1488.0,,,0,0,,C37,2016-05-02 22:30:00,2016-05-03 00:18:00,2016-05-02 22:35:00,2016-05-03 00:49:00,2016-05-03 02:30,2016-05-03 05:18,2016-05-03 02:35,2016-05-03 05:49,N580UW
AA91,N,DFW,ORD,0039,0109,39,69,0031,0109,31.0,69.0,2.0,,150,0,,A10,2016-05-02 22:10:00,2016-05-03 00:39:00,2016-05-02 22:11:00,2016-05-03 00:31:00,2016-05-03 03:10,2016-05-03 05:39,2016-05-03 03:11,2016-05-03 05:31,N922AN
AA464,N,DFW,PHX,0204,0234,124,154,0144,0234,104.0,154.0,,,0,0,,C35,2016-05-02 21:50:00,2016-05-03 02:04:00,2016-05-02 21:46:00,2016-05-03 01:44:00,2016-05-03 04:50,2016-05-03 07:04,2016-05-03 04:46,2016-05-03 06:44,N551UW
AA1403,Y,MIA,DFW,0330,0500,210,300,0330,0537,210.0,337.0,2.0,Domestic,0,150,C8,,2016-05-02 05:00:00,2016-05-02 08:45:00,2016-05-02 05:37:00,2016-05-02 09:05:00,2016-05-02 10:00,2016-05-02 12:45,2016-05-02 10:37,2016-05-02 13:05,N382AN
AA90,Y,ORD,DFW,0340,0510,220,310,0340,0547,220.0,347.0,2.0,Domestic,0,150,C12,,2016-05-02 05:10:00,2016-05-02 07:29:00,2016-05-02 05:47:00,2016-05-02 07:58:00,2016-05-02 10:10,2016-05-02 12:29,2016-05-02 10:47,2016-05-02 12:58,N70504
AA835,Y,CLT,DFW,0344,0514,224,314,0344,0539,224.0,339.0,2.0,Domestic,0,150,C37,,2016-05-02 05:14:00,2016-05-02 08:43:00,2016-05-02 05:39:00,2016-05-02 09:02:00,2016-05-02 10:14,2016-05-02 12:43,2016-05-02 10:39,2016-05-02 13:02,N185UW
AA465,Y,PHX,DFW,0430,0600,270,360,0430,0604,270.0,364.0,2.0,Domestic,0,150,C35,,2016-05-02 06:00:00,2016-05-02 06:34:00,2016-05-02 06:04:00,2016-05-02 06:45:00,2016-05-02 11:00,2016-05-02 13:34,2016-05-02 11:04,2016-05-02 13:45,N170US
AA2336,Y,MIA,DFW,0440,0610,280,370,0440,0605,280.0,365.0,2.0,Domestic,0,150,A36,,2016-05-02 06:10:00,2016-05-02 09:56:00,2016-05-02 06:05:00,2016-05-02 09:41:00,2016-05-02 11:10,2016-05-02 13:56,2016-05-02 11:05,2016-05-02 13:41,N182AN
AA1316,Y,PHL,DFW,0445,0615,285,375,0445,0620,285.0,380.0,2.0,Domestic,0,150,A13,,2016-05-02 06:15:00,2016-05-02 10:26:00,2016-05-02 06:20:00,2016-05-02 10:15:00,2016-05-02 11:15,2016-05-02 14:26,2016-05-02 11:20,2016-05-02 14:15,N146AA
AA2181,Y,MIA,DFW,0459,0629,299,389,0459,0654,299.0,414.0,2.0,Domestic,0,150,C26,,2016-05-02 06:29:00,2016-05-02 10:16:00,2016-05-02 06:54:00,2016-05-02 10:33:00,2016-05-02 11:29,2016-05-02 14:16,2016-05-02 11:54,2016-05-02 14:33,N9023N
AA1738,N,DFW,PHX,0503,0700,303,420,0527,0700,327.0,420.0,2.0,,150,0,,C29,2016-05-02 00:50:00,2016-05-02 05:03:00,2016-05-02 00:47:00,2016-05-02 05:27:00,2016-05-02 07:50,2016-05-02 10:03,2016-05-02 07:47,2016-05-02 10:27,N194UW
AA2064,Y,CLT,DFW,0503,0700,303,420,0527,0700,327.0,420.0,2.0,Domestic,0,150,C29,,2016-05-02 07:00:00,2016-05-02 10:35:00,2016-05-02 07:00:00,2016-05-02 10:42:00,2016-05-02 12:00,2016-05-02 14:35,2016-05-02 12:00,2016-05-02 14:42,N194UW
AA2213,Y,LGA,DFW,0510,0640,310,400,0510,0642,310.0,402.0,2.0,Domestic,0,150,A8,,2016-05-02 06:40:00,2016-05-02 11:03:00,2016-05-02 06:42:00,2016-05-02 10:50:00,2016-05-02 11:40,2016-05-02 15:03,2016-05-02 11:42,2016-05-02 14:50,N970NN
AA6,N,DFW,OGG,0517,0547,317,347,0442,0547,282.0,347.0,1.0,,300,0,,C4,2016-05-02 17:00:00,2016-05-03 05:17:00,2016-05-02 16:47:00,2016-05-03 04:42:00,2016-05-03 03:00,2016-05-03 10:17,2016-05-03 02:47,2016-05-03 09:42,N394AN
AA323,Y,STL,DFW,0530,0700,330,420,0530,0657,330.0,417.0,2.0,Domestic,0,150,C28,,2016-05-02 07:00:00,2016-05-02 08:42:00,2016-05-02 06:57:00,2016-05-02 08:36:00,2016-05-02 12:00,2016-05-02 13:42,2016-05-02 11:57,2016-05-02 13:36,N475AA
AA1343,Y,CUN,DFW,0530,0700,330,420,0530,0652,330.0,412.0,,,0,0,C6,,2016-05-02 07:00:00,2016-05-02 09:41:00,2016-05-02 06:52:00,2016-05-02 09:25:00,2016-05-02 12:00,2016-05-02 14:41,2016-05-02 11:52,2016-05-02 14:25,N852NN
AA2320,Y,ORD,DFW,0530,0700,330,420,0530,0657,330.0,417.0,2.0,Domestic,0,150,C15,,2016-05-02 07:00:00,2016-05-02 09:25:00,2016-05-02 06:57:00,2016-05-02 09:23:00,2016-05-02 12:00,2016-05-02 14:25,2016-05-02 11:57,2016-05-02 14:23,N434AA
AA1331,Y,CLE,DFW,0530,0700,330,420,0530,0656,330.0,416.0,2.0,Domestic,0,150,C14,,2016-05-02 07:00:00,2016-05-02 10:37:00,2016-05-02 06:56:00,2016-05-02 10:14:00,2016-05-02 12:00,2016-05-02 14:37,2016-05-02 11:56,2016-05-02 14:14,N7528A
AA1004,Y,AUS,DFW,0530,0700,330,420,0530,0704,330.0,424.0,2.0,Domestic,0,150,C31,,2016-05-02 07:00:00,2016-05-02 08:03:00,2016-05-02 07:04:00,2016-05-02 08:10:00,2016-05-02 12:00,2016-05-02 13:03,2016-05-02 12:04,2016-05-02 13:10,N9622A
AA1211,Y,BOS,DFW,0535,0705,335,425,0535,0706,335.0,426.0,2.0,Domestic,0,150,A29,,2016-05-02 07:05:00,2016-05-02 11:46:00,2016-05-02 07:06:00,2016-05-02 11:55:00,2016-05-02 12:05,2016-05-02 15:46,2016-05-02 12:06,2016-05-02 15:55,N978AN
AA2412,Y,SAT,DFW,0535,0705,335,425,0535,0700,335.0,420.0,2.0,Domestic,0,150,C11,,2016-05-02 07:05:00,2016-05-02 08:16:00,2016-05-02 07:00:00,2016-05-02 08:09:00,2016-05-02 12:05,2016-05-02 13:16,2016-05-02 12:00,2016-05-02 13:09,N968TW
AA2508,Y,BWI,DFW,0535,0705,335,425,0535,0717,335.0,437.0,2.0,Domestic,0,150,A19,,2016-05-02 07:05:00,2016-05-02 11:07:00,2016-05-02 07:17:00,2016-05-02 11:20:00,2016-05-02 12:05,2016-05-02 15:07,2016-05-02 12:17,2016-05-02 15:20,N903AN
AA2255,Y,MCO,DFW,0535,0705,335,425,0535,0702,335.0,422.0,2.0,Domestic,0,150,A16,,2016-05-02 07:05:00,2016-05-02 10:43:00,2016-05-02 07:02:00,2016-05-02 10:31:00,2016-05-02 12:05,2016-05-02 14:43,2016-05-02 12:02,2016-05-02 14:31,N959NN
AA2488,Y,TPA,DFW,0535,0705,335,425,0535,0703,335.0,423.0,2.0,Domestic,0,150,C30,,2016-05-02 07:05:00,2016-05-02 10:31:00,2016-05-02 07:03:00,2016-05-02 10:37:00,2016-05-02 12:05,2016-05-02 14:31,2016-05-02 12:03,2016-05-02 14:37,N9630A
AA1302,Y,FLL,DFW,0540,0710,340,430,0540,0707,340.0,427.0,2.0,Domestic,0,150,A18,,2016-05-02 07:10:00,2016-05-02 10:59:00,2016-05-02 07:07:00,2016-05-02 10:43:00,2016-05-02 12:10,2016-05-02 14:59,2016-05-02 12:07,2016-05-02 14:43,N840NN
AA952,Y,EWR,DFW,0540,0710,340,430,0540,0711,340.0,431.0,2.0,Domestic,0,150,A17,,2016-05-02 07:10:00,2016-05-02 11:38:00,2016-05-02 07:11:00,2016-05-02 11:37:00,2016-05-02 12:10,2016-05-02 15:38,2016-05-02 12:11,2016-05-02 15:37,N924AN
AA2603,Y,ATL,DFW,0540,0710,340,430,0540,0708,340.0,428.0,2.0,Domestic,0,150,C22,,2016-05-02 07:10:00,2016-05-02 10:18:00,2016-05-02 07:08:00,2016-05-02 10:11:00,2016-05-02 12:10,2016-05-02 14:18,2016-05-02 12:08,2016-05-02 14:11,N9615W
AA1062,Y,MCI,DFW,0540,0710,340,430,0540,0707,340.0,427.0,2.0,Domestic,0,150,C27,,2016-05-02 07:10:00,2016-05-02 08:46:00,2016-05-02 07:07:00,2016-05-02 08:31:00,2016-05-02 12:10,2016-05-02 13:46,2016-05-02 12:07,2016-05-02 13:31,N9620D
AA1298,Y,SNA,DFW,0545,0715,345,435,0545,0710,345.0,430.0,2.0,Domestic,0,150,A14,,2016-05-02 07:15:00,2016-05-02 08:32:00,2016-05-02 07:10:00,2016-05-02 08:31:00,2016-05-02 12:15,2016-05-02 15:32,2016-05-02 12:10,2016-05-02 15:31,N953NN
AA1375,Y,LAS,DFW,0545,0715,345,435,0545,0712,345.0,432.0,2.0,Domestic,0,150,C21,,2016-05-02 07:15:00,2016-05-02 08:16:00,2016-05-02 07:12:00,2016-05-02 08:24:00,2016-05-02 12:15,2016-05-02 15:16,2016-05-02 12:12,2016-05-02 15:24,N991AN
AA3189,Y,VPS,DFW,0545,0715,345,435,0545,0710,345.0,430.0,3.0,Domestic,0,75,B12,,2016-05-02 07:15:00,2016-05-02 09:16:00,2016-05-02 07:10:00,2016-05-02 09:30:00,2016-05-02 12:15,2016-05-02 14:16,2016-05-02 12:10,2016-05-02 14:30,N225NN
AA1252,Y,PIT,DFW,0545,0715,345,435,0545,0711,345.0,431.0,2.0,Domestic,0,150,C2,,2016-05-02 07:15:00,2016-05-02 10:54:00,2016-05-02 07:11:00,2016-05-02 10:59:00,2016-05-02 12:15,2016-05-02 14:54,2016-05-02 12:11,2016-05-02 14:59,N484AA
AA2491,Y,SAN,DFW,0545,0710,345,430,0602,0714,362.0,434.0,2.0,Domestic,0,150,A15,,2016-05-02 07:10:00,2016-05-02 08:20:00,2016-05-02 07:14:00,2016-05-02 08:43:00,2016-05-02 12:10,2016-05-02 15:20,2016-05-02 12:14,2016-05-02 15:43,N143AN
